KNr	A	B	C	Gene	Function
K02696	multiple functions	multiple functions	multiple functions	psaI	photosystem I subunit VIII
K02697	multiple functions	multiple functions	multiple functions	psaJ	photosystem I subunit IX
K02698	multiple functions	multiple functions	multiple functions	psaK	photosystem I subunit X
K02699	multiple functions	multiple functions	multiple functions	psaL	photosystem I subunit XI
K02700	multiple functions	multiple functions	multiple functions	psaM	photosystem I subunit XII
K02701	multiple functions	multiple functions	multiple functions	psaN	photosystem I subunit PsaN
K02702	multiple functions	multiple functions	multiple functions	psaX	photosystem I 4.8kDa protein
K02703	multiple functions	multiple functions	multiple functions	psbA	photosystem II P680 reaction center D1 protein [EC:1.10.3.9]
K02704	multiple functions	multiple functions	multiple functions	psbB	photosystem II CP47 chlorophyll apoprotein
K02705	multiple functions	multiple functions	multiple functions	psbC	photosystem II CP43 chlorophyll apoprotein
K02706	multiple functions	multiple functions	multiple functions	psbD	photosystem II P680 reaction center D2 protein [EC:1.10.3.9]
K02707	multiple functions	multiple functions	multiple functions	psbE	photosystem II cytochrome b559 subunit alpha
K02708	multiple functions	multiple functions	multiple functions	psbF	photosystem II cytochrome b559 subunit beta
K02709	multiple functions	multiple functions	multiple functions	psbH	photosystem II PsbH protein
K02710	multiple functions	multiple functions	multiple functions	psbI	photosystem II PsbI protein
K02711	multiple functions	multiple functions	multiple functions	psbJ	photosystem II PsbJ protein
K02712	multiple functions	multiple functions	multiple functions	psbK	photosystem II PsbK protein
K02713	multiple functions	multiple functions	multiple functions	psbL	photosystem II PsbL protein
K02714	multiple functions	multiple functions	multiple functions	psbM	photosystem II PsbM protein
K02715	not included in pathway or brite	poorly characterized	general function prediction only	psbN	PsbN protein
K02716	multiple functions	multiple functions	multiple functions	psbO	photosystem II oxygen-evolving enhancer protein 1
K02717	multiple functions	multiple functions	multiple functions	psbP	photosystem II oxygen-evolving enhancer protein 2
K02718	multiple functions	multiple functions	multiple functions	psbT	photosystem II PsbT protein
K02719	multiple functions	multiple functions	multiple functions	psbU	photosystem II PsbU protein
K02720	multiple functions	multiple functions	multiple functions	psbV	photosystem II cytochrome c550
K02721	multiple functions	multiple functions	multiple functions	psbW	photosystem II PsbW protein
K02722	multiple functions	multiple functions	multiple functions	psbX	photosystem II PsbX protein
K02723	multiple functions	multiple functions	multiple functions	psbY	photosystem II PsbY protein
K02724	multiple functions	multiple functions	multiple functions	psbZ	photosystem II PsbZ protein
K02725	multiple functions	multiple functions	multiple functions	PSMA1	20S proteasome subunit alpha 6 [EC:3.4.25.1]
K02726	multiple functions	multiple functions	multiple functions	PSMA2	20S proteasome subunit alpha 2 [EC:3.4.25.1]
K02727	multiple functions	multiple functions	multiple functions	PSMA3	20S proteasome subunit alpha 7 [EC:3.4.25.1]
K02728	multiple functions	multiple functions	multiple functions	PSMA4	20S proteasome subunit alpha 3 [EC:3.4.25.1]
K02729	multiple functions	multiple functions	multiple functions	PSMA5	20S proteasome subunit alpha 5 [EC:3.4.25.1]
K02730	multiple functions	multiple functions	multiple functions	PSMA6	20S proteasome subunit alpha 1 [EC:3.4.25.1]
K02731	multiple functions	multiple functions	multiple functions	PSMA7	20S proteasome subunit alpha 4 [EC:3.4.25.1]
K02732	multiple functions	multiple functions	multiple functions	PSMB1	20S proteasome subunit beta 6 [EC:3.4.25.1]
K02733	multiple functions	multiple functions	multiple functions	PSMB10, MECL1	20S proteasome subunit beta 10 [EC:3.4.25.1]
K02734	multiple functions	multiple functions	multiple functions	PSMB2	20S proteasome subunit beta 4 [EC:3.4.25.1]
K02735	multiple functions	multiple functions	multiple functions	PSMB3	20S proteasome subunit beta 3 [EC:3.4.25.1]
K02736	multiple functions	multiple functions	multiple functions	PSMB4	20S proteasome subunit beta 7 [EC:3.4.25.1]
K02737	multiple functions	multiple functions	multiple functions	PSMB5	20S proteasome subunit beta 5 [EC:3.4.25.1]
K02738	multiple functions	multiple functions	multiple functions	PSMB6	20S proteasome subunit beta 1 [EC:3.4.25.1]
K02739	multiple functions	multiple functions	multiple functions	PSMB7	20S proteasome subunit beta 2 [EC:3.4.25.1]
K02740	multiple functions	multiple functions	multiple functions	PSMB8, LMP7	20S proteasome subunit beta 8 [EC:3.4.25.1]
K02741	multiple functions	multiple functions	multiple functions	PSMB9, LMP2	20S proteasome subunit beta 9 [EC:3.4.25.1]
K02742	not included in pathway or brite	poorly characterized	general function prediction only	sprT	SprT protein
K02744	multiple functions	multiple functions	multiple functions	agaF	N-acetylgalactosamine PTS system EIIA component [EC:2.7.1.-]
K02745	multiple functions	multiple functions	multiple functions	agaV	N-acetylgalactosamine PTS system EIIB component [EC:2.7.1.-]
K02746	multiple functions	multiple functions	multiple functions	agaW	N-acetylgalactosamine PTS system EIIC component
K02747	multiple functions	multiple functions	multiple functions	agaE	N-acetylgalactosamine PTS system EIID component
K02750	multiple functions	multiple functions	multiple functions	glvC, malP, aglA	alpha-glucoside PTS system EIICB component [EC:2.7.1.208 2.7.1.-]
K02753	multiple functions	multiple functions	multiple functions	ascF	beta-glucoside (arbutin/salicin/cellobiose) PTS system EIICB component [EC:2.7.1.-]
K02755	brite hierarchies	protein families: signaling and cellular processes	transporters [br:ko02000]	bglFa	beta-glucoside PTS system EIIA component [EC:2.7.1.-]
K02757	multiple functions	multiple functions	multiple functions	bglF, bglP	beta-glucoside PTS system EIICBA component [EC:2.7.1.-]
K02759	multiple functions	multiple functions	multiple functions	celC, chbA	cellobiose PTS system EIIA component [EC:2.7.1.196 2.7.1.205]
K02760	multiple functions	multiple functions	multiple functions	celA, chbB	cellobiose PTS system EIIB component [EC:2.7.1.196 2.7.1.205]
K02761	multiple functions	multiple functions	multiple functions	celB, chbC	cellobiose PTS system EIIC component
K02765	multiple functions	multiple functions	multiple functions	gamP	D-glucosamine PTS system EIICBA component [EC:2.7.1.-]
K02768	multiple functions	multiple functions	multiple functions	fruB	fructose PTS system EIIA component [EC:2.7.1.202]
K02769	multiple functions	multiple functions	multiple functions	fruAb	fructose PTS system EIIB component [EC:2.7.1.202]
K02770	multiple functions	multiple functions	multiple functions	fruA	fructose PTS system EIIBC or EIIC component [EC:2.7.1.202]
K02771	multiple functions	multiple functions	multiple functions	levG	fructose PTS system EIID component
K02773	multiple functions	multiple functions	multiple functions	gatA, sgcA	galactitol PTS system EIIA component [EC:2.7.1.200]
K02774	multiple functions	multiple functions	multiple functions	gatB, sgcB	galactitol PTS system EIIB component [EC:2.7.1.200]
K02775	multiple functions	multiple functions	multiple functions	gatC, sgcC	galactitol PTS system EIIC component
K02777	multiple functions	multiple functions	multiple functions	crr	sugar PTS system EIIA component [EC:2.7.1.-]
K02778	brite hierarchies	protein families: signaling and cellular processes	transporters [br:ko02000]	ptsGb	glucose PTS system EIIB component [EC:2.7.1.199]
K02779	multiple functions	multiple functions	multiple functions	ptsG	glucose PTS system EIICB or EIICBA component [EC:2.7.1.199]
K02781	multiple functions	multiple functions	multiple functions	srlB	glucitol/sorbitol PTS system EIIA component [EC:2.7.1.198]
K02782	multiple functions	multiple functions	multiple functions	srlE	glucitol/sorbitol PTS system EIIB component [EC:2.7.1.198]
K02783	multiple functions	multiple functions	multiple functions	srlA	glucitol/sorbitol PTS system EIIC component
K02784	multiple functions	multiple functions	multiple functions	ptsH	phosphocarrier protein HPr
K02786	multiple functions	multiple functions	multiple functions	lacF	lactose PTS system EIIA component [EC:2.7.1.207]
K02788	multiple functions	multiple functions	multiple functions	lacE	lactose PTS system EIICB component [EC:2.7.1.207]
K02791	multiple functions	multiple functions	multiple functions	malX	maltose/glucose PTS system EIICB component [EC:2.7.1.199 2.7.1.208]
K02793	multiple functions	multiple functions	multiple functions	manXa	mannose PTS system EIIA component [EC:2.7.1.191]
K02794	multiple functions	multiple functions	multiple functions	manX	mannose PTS system EIIAB component [EC:2.7.1.191]
K02795	multiple functions	multiple functions	multiple functions	manY	mannose PTS system EIIC component
K02796	multiple functions	multiple functions	multiple functions	manZ	mannose PTS system EIID component
K02798	multiple functions	multiple functions	multiple functions	cmtB	mannitol PTS system EIIA component [EC:2.7.1.197]
K02800	multiple functions	multiple functions	multiple functions	mtlA, cmtA	mannitol PTS system EIICBA or EIICB component [EC:2.7.1.197]
K02803	brite hierarchies	protein families: signaling and cellular processes	transporters [br:ko02000]	nagEb	N-acetylglucosamine PTS system EIIB component [EC:2.7.1.193]
K02804	multiple functions	multiple functions	multiple functions	nagE	N-acetylglucosamine PTS system EIICBA or EIICB component [EC:2.7.1.193]
K02805	multiple functions	multiple functions	multiple functions	wecE, rffA	dTDP-4-amino-4,6-dideoxygalactose transaminase [EC:2.6.1.59]
K02806	multiple functions	multiple functions	multiple functions	ptsN	nitrogen PTS system EIIA component [EC:2.7.1.-]
K02810	multiple functions	multiple functions	multiple functions	scrA, sacP, sacX, ptsS	sucrose PTS system EIIBCA or EIIBC component [EC:2.7.1.211]
K02812	multiple functions	multiple functions	multiple functions	sorF, sorA	sorbose PTS system EIIA component [EC:2.7.1.206]
K02813	multiple functions	multiple functions	multiple functions	sorB	sorbose PTS system EIIB component [EC:2.7.1.206]
K02814	multiple functions	multiple functions	multiple functions	sorA, sorC	sorbose PTS system EIIC component
K02815	multiple functions	multiple functions	multiple functions	sorM, sorD	sorbose PTS system EIID component
K02819	multiple functions	multiple functions	multiple functions	treB, treP	trehalose PTS system EIIBC or EIIBCA component [EC:2.7.1.201]
K02821	multiple functions	multiple functions	multiple functions	ulaC, sgaA	ascorbate PTS system EIIA or EIIAB component [EC:2.7.1.194]
K02822	multiple functions	multiple functions	multiple functions	ulaB, sgaB	ascorbate PTS system EIIB component [EC:2.7.1.194]
K02823	metabolism	nucleotide metabolism	pyrimidine metabolism [path:ko00240]	pyrDII	dihydroorotate dehydrogenase electron transfer subunit
K02824	brite hierarchies	protein families: signaling and cellular processes	transporters [br:ko02000]	uraA, pyrP	uracil permease
K02825	multiple functions	multiple functions	multiple functions	pyrR	pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]
K02826	metabolism	energy metabolism	oxidative phosphorylation [path:ko00190]	qoxA	cytochrome aa3-600 menaquinol oxidase subunit II [EC:7.1.1.5]
K02827	metabolism	energy metabolism	oxidative phosphorylation [path:ko00190]	qoxB	cytochrome aa3-600 menaquinol oxidase subunit I [EC:7.1.1.5]
K02828	metabolism	energy metabolism	oxidative phosphorylation [path:ko00190]	qoxC	cytochrome aa3-600 menaquinol oxidase subunit III [EC:7.1.1.5]
K02829	metabolism	energy metabolism	oxidative phosphorylation [path:ko00190]	qoxD	cytochrome aa3-600 menaquinol oxidase subunit IV [EC:7.1.1.5]
K02830	multiple functions	multiple functions	multiple functions	HRAD1, RAD17	cell cycle checkpoint protein [EC:3.1.11.2]
K02831	multiple functions	multiple functions	multiple functions	RAD53	ser/thr/tyr protein kinase RAD53 [EC:2.7.11.-]
K02832	not included in pathway or brite	unclassified: signaling and cellular processes	signaling proteins	RAIDD	CASP2 and RIPK1 domain containing adaptor with death domain
K02833	multiple functions	multiple functions	multiple functions	HRAS	GTPase HRas
K02834	brite hierarchies	protein families: genetic information processing	ribosome biogenesis [br:ko03009]	rbfA	ribosome-binding factor A
K02835	brite hierarchies	protein families: genetic information processing	translation factors [br:ko03012]	prfA, MTRF1, MRF1	peptide chain release factor 1
K02836	brite hierarchies	protein families: genetic information processing	translation factors [br:ko03012]	prfB	peptide chain release factor 2
K02837	brite hierarchies	protein families: genetic information processing	translation factors [br:ko03012]	prfC	peptide chain release factor 3
K02838	brite hierarchies	protein families: genetic information processing	translation factors [br:ko03012]	frr, MRRF, RRF	ribosome recycling factor
K02839	brite hierarchies	protein families: genetic information processing	translation factors [br:ko03012]	prfH	peptide chain release factor
K02840	multiple functions	multiple functions	multiple functions	waaB, rfaB	UDP-D-galactose:(glucosyl)LPS alpha-1,6-D-galactosyltransferase [EC:2.4.1.-]
K02841	multiple functions	multiple functions	multiple functions	waaC, rfaC	heptosyltransferase I [EC:2.4.-.-]
K02842	multiple functions	multiple functions	multiple functions	FZD9_10, CD349_50	frizzled 9/10
K02843	multiple functions	multiple functions	multiple functions	waaF, rfaF	heptosyltransferase II [EC:2.4.-.-]
K02844	multiple functions	multiple functions	multiple functions	waaG, rfaG	UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]
K02846	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	solA	N-methyl-L-tryptophan oxidase [EC:1.5.3.-]
K02847	multiple functions	multiple functions	multiple functions	waaL, rfaL	O-antigen ligase [EC:2.4.1.-]
K02848	multiple functions	multiple functions	multiple functions	waaP, rfaP	heptose I phosphotransferase [EC:2.7.1.-]
K02849	multiple functions	multiple functions	multiple functions	waaQ, rfaQ	heptosyltransferase III [EC:2.4.-.-]
K02850	multiple functions	multiple functions	multiple functions	waaY, rfaY	heptose II phosphotransferase [EC:2.7.1.-]
K02851	multiple functions	multiple functions	multiple functions	wecA, tagO, rfe	UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]
K02852	brite hierarchies	protein families: metabolism	glycosyltransferases [br:ko01003]	wecG, rffM	UDP-N-acetyl-D-mannosaminouronate:lipid I N-acetyl-D-mannosaminouronosyltransferase [EC:2.4.1.180]
K02853	brite hierarchies	protein families: metabolism	glycosyltransferases [br:ko01003]	wzyE, rffT	enterobacterial common antigen polymerase [EC:2.4.1.-]
K02854	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	rhaR	AraC family transcriptional regulator, L-rhamnose operon transcriptional activator RhaR
K02855	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	rhaS	AraC family transcriptional regulator, L-rhamnose operon regulatory protein RhaS
K02856	brite hierarchies	protein families: signaling and cellular processes	transporters [br:ko02000]	rhaT	L-rhamnose-H+ transport protein
K02857	brite hierarchies	protein families: metabolism	peptidases and inhibitors [br:ko01002]	RHBDL1_2_3	rhomboid-related protein 1/2/3 [EC:3.4.21.105]
K02858	metabolism	metabolism of cofactors and vitamins	riboflavin metabolism [path:ko00740]	ribB, RIB3	3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12]
K02859	not included in pathway or brite	unclassified: metabolism	cofactor metabolism	ribT	riboflavin biosynthesis RibT protein
K02860	brite hierarchies	protein families: genetic information processing	ribosome biogenesis [br:ko03009]	rimM	16S rRNA processing protein RimM
K02861	multiple functions	multiple functions	multiple functions	RIPK1, RIP1	receptor-interacting serine/threonine-protein kinase 1 [EC:2.7.11.1]
K02862	not included in pathway or brite	poorly characterized	general function prediction only	ctaG	putative membrane protein
K02863	multiple functions	multiple functions	multiple functions	RP-L1, MRPL1, rplA	large subunit ribosomal protein L1
K02864	multiple functions	multiple functions	multiple functions	RP-L10, MRPL10, rplJ	large subunit ribosomal protein L10
K02865	multiple functions	multiple functions	multiple functions	RP-L10Ae, RPL10A	large subunit ribosomal protein L10Ae
K02866	multiple functions	multiple functions	multiple functions	RP-L10e, RPL10	large subunit ribosomal protein L10e
K02867	multiple functions	multiple functions	multiple functions	RP-L11, MRPL11, rplK	large subunit ribosomal protein L11
K02868	multiple functions	multiple functions	multiple functions	RP-L11e, RPL11	large subunit ribosomal protein L11e
K02869	multiple functions	multiple functions	multiple functions	RP-L12, rpl12	large subunit ribosomal protein L12
K02870	multiple functions	multiple functions	multiple functions	RP-L12e, RPL12	large subunit ribosomal protein L12e
K02871	multiple functions	multiple functions	multiple functions	RP-L13, MRPL13, rplM	large subunit ribosomal protein L13
K02872	multiple functions	multiple functions	multiple functions	RP-L13Ae, RPL13A	large subunit ribosomal protein L13Ae
K02873	multiple functions	multiple functions	multiple functions	RP-L13e, RPL13	large subunit ribosomal protein L13e
K02874	multiple functions	multiple functions	multiple functions	RP-L14, MRPL14, rplN	large subunit ribosomal protein L14
K02875	multiple functions	multiple functions	multiple functions	RP-L14e, RPL14	large subunit ribosomal protein L14e
K02876	multiple functions	multiple functions	multiple functions	RP-L15, MRPL15, rplO	large subunit ribosomal protein L15
K02877	multiple functions	multiple functions	multiple functions	RP-L15e, RPL15	large subunit ribosomal protein L15e
K02878	multiple functions	multiple functions	multiple functions	RP-L16, MRPL16, rplP	large subunit ribosomal protein L16
K02879	multiple functions	multiple functions	multiple functions	RP-L17, MRPL17, rplQ	large subunit ribosomal protein L17
K02880	multiple functions	multiple functions	multiple functions	RP-L17e, RPL17	large subunit ribosomal protein L17e
K02881	multiple functions	multiple functions	multiple functions	RP-L18, MRPL18, rplR	large subunit ribosomal protein L18
K02882	multiple functions	multiple functions	multiple functions	RP-L18Ae, RPL18A	large subunit ribosomal protein L18Ae
K02883	multiple functions	multiple functions	multiple functions	RP-L18e, RPL18	large subunit ribosomal protein L18e
K02884	multiple functions	multiple functions	multiple functions	RP-L19, MRPL19, rplS	large subunit ribosomal protein L19
K02885	multiple functions	multiple functions	multiple functions	RP-L19e, RPL19	large subunit ribosomal protein L19e
K02886	multiple functions	multiple functions	multiple functions	RP-L2, MRPL2, rplB	large subunit ribosomal protein L2
K02887	multiple functions	multiple functions	multiple functions	RP-L20, MRPL20, rplT	large subunit ribosomal protein L20
K02888	multiple functions	multiple functions	multiple functions	RP-L21, MRPL21, rplU	large subunit ribosomal protein L21
K02889	multiple functions	multiple functions	multiple functions	RP-L21e, RPL21	large subunit ribosomal protein L21e
K02890	multiple functions	multiple functions	multiple functions	RP-L22, MRPL22, rplV	large subunit ribosomal protein L22
K02891	multiple functions	multiple functions	multiple functions	RP-L22e, RPL22	large subunit ribosomal protein L22e
K02892	multiple functions	multiple functions	multiple functions	RP-L23, MRPL23, rplW	large subunit ribosomal protein L23
K02893	multiple functions	multiple functions	multiple functions	RP-L23Ae, RPL23A	large subunit ribosomal protein L23Ae
K02894	multiple functions	multiple functions	multiple functions	RP-L23e, RPL23	large subunit ribosomal protein L23e
K02895	multiple functions	multiple functions	multiple functions	RP-L24, MRPL24, rplX	large subunit ribosomal protein L24
K02896	multiple functions	multiple functions	multiple functions	RP-L24e, RPL24	large subunit ribosomal protein L24e
K02897	multiple functions	multiple functions	multiple functions	RP-L25, rplY	large subunit ribosomal protein L25
K02898	multiple functions	multiple functions	multiple functions	RP-L26e, RPL26	large subunit ribosomal protein L26e
K02899	multiple functions	multiple functions	multiple functions	RP-L27, MRPL27, rpmA	large subunit ribosomal protein L27
K02900	multiple functions	multiple functions	multiple functions	RP-L27Ae, RPL27A	large subunit ribosomal protein L27Ae
K02901	multiple functions	multiple functions	multiple functions	RP-L27e, RPL27	large subunit ribosomal protein L27e
K02902	multiple functions	multiple functions	multiple functions	RP-L28, MRPL28, rpmB	large subunit ribosomal protein L28
K02903	multiple functions	multiple functions	multiple functions	RP-L28e, RPL28	large subunit ribosomal protein L28e
K02904	multiple functions	multiple functions	multiple functions	RP-L29, rpmC	large subunit ribosomal protein L29
K02905	multiple functions	multiple functions	multiple functions	RP-L29e, RPL29	large subunit ribosomal protein L29e
K02906	multiple functions	multiple functions	multiple functions	RP-L3, MRPL3, rplC	large subunit ribosomal protein L3
K02907	multiple functions	multiple functions	multiple functions	RP-L30, MRPL30, rpmD	large subunit ribosomal protein L30
K02908	multiple functions	multiple functions	multiple functions	RP-L30e, RPL30	large subunit ribosomal protein L30e
K02909	multiple functions	multiple functions	multiple functions	RP-L31, rpmE	large subunit ribosomal protein L31
K02910	multiple functions	multiple functions	multiple functions	RP-L31e, RPL31	large subunit ribosomal protein L31e
K02911	multiple functions	multiple functions	multiple functions	RP-L32, MRPL32, rpmF	large subunit ribosomal protein L32
K02912	multiple functions	multiple functions	multiple functions	RP-L32e, RPL32	large subunit ribosomal protein L32e
K02913	multiple functions	multiple functions	multiple functions	RP-L33, MRPL33, rpmG	large subunit ribosomal protein L33
K02914	multiple functions	multiple functions	multiple functions	RP-L34, MRPL34, rpmH	large subunit ribosomal protein L34
K02915	multiple functions	multiple functions	multiple functions	RP-L34e, RPL34	large subunit ribosomal protein L34e
K02916	multiple functions	multiple functions	multiple functions	RP-L35, MRPL35, rpmI	large subunit ribosomal protein L35
K02917	multiple functions	multiple functions	multiple functions	RP-L35Ae, RPL35A	large subunit ribosomal protein L35Ae
K02918	multiple functions	multiple functions	multiple functions	RP-L35e, RPL35	large subunit ribosomal protein L35e
K02919	multiple functions	multiple functions	multiple functions	RP-L36, MRPL36, rpmJ	large subunit ribosomal protein L36
K02920	multiple functions	multiple functions	multiple functions	RP-L36e, RPL36	large subunit ribosomal protein L36e
K02921	multiple functions	multiple functions	multiple functions	RP-L37Ae, RPL37A	large subunit ribosomal protein L37Ae
K02922	multiple functions	multiple functions	multiple functions	RP-L37e, RPL37	large subunit ribosomal protein L37e
K02923	multiple functions	multiple functions	multiple functions	RP-L38e, RPL38	large subunit ribosomal protein L38e
K02924	multiple functions	multiple functions	multiple functions	RP-L39e, RPL39	large subunit ribosomal protein L39e
K02925	multiple functions	multiple functions	multiple functions	RP-L3e, RPL3	large subunit ribosomal protein L3e
K02926	multiple functions	multiple functions	multiple functions	RP-L4, MRPL4, rplD	large subunit ribosomal protein L4
K02927	multiple functions	multiple functions	multiple functions	RP-L40e, RPL40, UBA52	ubiquitin-large subunit ribosomal protein L40e
K02928	multiple functions	multiple functions	multiple functions	RP-L41e, RPL41	large subunit ribosomal protein L41e
K02929	multiple functions	multiple functions	multiple functions	RP-L44e, RPL44	large subunit ribosomal protein L44e
K02930	multiple functions	multiple functions	multiple functions	RP-L4e, RPL4	large subunit ribosomal protein L4e
K02931	multiple functions	multiple functions	multiple functions	RP-L5, MRPL5, rplE	large subunit ribosomal protein L5
K02932	multiple functions	multiple functions	multiple functions	RP-L5e, RPL5	large subunit ribosomal protein L5e
K02933	multiple functions	multiple functions	multiple functions	RP-L6, MRPL6, rplF	large subunit ribosomal protein L6
K02934	multiple functions	multiple functions	multiple functions	RP-L6e, RPL6	large subunit ribosomal protein L6e
K02935	multiple functions	multiple functions	multiple functions	RP-L7, MRPL12, rplL	large subunit ribosomal protein L7/L12
K02936	multiple functions	multiple functions	multiple functions	RP-L7Ae, RPL7A	large subunit ribosomal protein L7Ae
K02937	multiple functions	multiple functions	multiple functions	RP-L7e, RPL7	large subunit ribosomal protein L7e
K02938	multiple functions	multiple functions	multiple functions	RP-L8e, RPL8	large subunit ribosomal protein L8e
K02939	multiple functions	multiple functions	multiple functions	RP-L9, MRPL9, rplI	large subunit ribosomal protein L9
K02940	multiple functions	multiple functions	multiple functions	RP-L9e, RPL9	large subunit ribosomal protein L9e
K02941	multiple functions	multiple functions	multiple functions	RP-LP0, RPLP0	large subunit ribosomal protein LP0
K02942	multiple functions	multiple functions	multiple functions	RP-LP1, RPLP1	large subunit ribosomal protein LP1
K02943	multiple functions	multiple functions	multiple functions	RP-LP2, RPLP2	large subunit ribosomal protein LP2
K02944	multiple functions	multiple functions	multiple functions	RP-LX, rplX	large subunit ribosomal protein LX
K02945	multiple functions	multiple functions	multiple functions	RP-S1, rpsA	small subunit ribosomal protein S1
K02946	multiple functions	multiple functions	multiple functions	RP-S10, MRPS10, rpsJ	small subunit ribosomal protein S10
K02947	multiple functions	multiple functions	multiple functions	RP-S10e, RPS10	small subunit ribosomal protein S10e
K02948	multiple functions	multiple functions	multiple functions	RP-S11, MRPS11, rpsK	small subunit ribosomal protein S11
K02949	multiple functions	multiple functions	multiple functions	RP-S11e, RPS11	small subunit ribosomal protein S11e
K02950	multiple functions	multiple functions	multiple functions	RP-S12, MRPS12, rpsL	small subunit ribosomal protein S12
K02951	multiple functions	multiple functions	multiple functions	RP-S12e, RPS12	small subunit ribosomal protein S12e
K02952	multiple functions	multiple functions	multiple functions	RP-S13, rpsM	small subunit ribosomal protein S13
K02953	multiple functions	multiple functions	multiple functions	RP-S13e, RPS13	small subunit ribosomal protein S13e
K02954	multiple functions	multiple functions	multiple functions	RP-S14, MRPS14, rpsN	small subunit ribosomal protein S14
K02955	multiple functions	multiple functions	multiple functions	RP-S14e, RPS14	small subunit ribosomal protein S14e
K02956	multiple functions	multiple functions	multiple functions	RP-S15, MRPS15, rpsO	small subunit ribosomal protein S15
K02957	multiple functions	multiple functions	multiple functions	RP-S15Ae, RPS15A	small subunit ribosomal protein S15Ae
K02958	multiple functions	multiple functions	multiple functions	RP-S15e, RPS15	small subunit ribosomal protein S15e
K02959	multiple functions	multiple functions	multiple functions	RP-S16, MRPS16, rpsP	small subunit ribosomal protein S16
K02960	multiple functions	multiple functions	multiple functions	RP-S16e, RPS16	small subunit ribosomal protein S16e
K02961	multiple functions	multiple functions	multiple functions	RP-S17, MRPS17, rpsQ	small subunit ribosomal protein S17
K02962	multiple functions	multiple functions	multiple functions	RP-S17e, RPS17	small subunit ribosomal protein S17e
K02963	multiple functions	multiple functions	multiple functions	RP-S18, MRPS18, rpsR	small subunit ribosomal protein S18
K02964	multiple functions	multiple functions	multiple functions	RP-S18e, RPS18	small subunit ribosomal protein S18e
K02965	multiple functions	multiple functions	multiple functions	RP-S19, rpsS	small subunit ribosomal protein S19
K02966	multiple functions	multiple functions	multiple functions	RP-S19e, RPS19	small subunit ribosomal protein S19e
K02967	multiple functions	multiple functions	multiple functions	RP-S2, MRPS2, rpsB	small subunit ribosomal protein S2
K02968	multiple functions	multiple functions	multiple functions	RP-S20, rpsT	small subunit ribosomal protein S20
K02969	multiple functions	multiple functions	multiple functions	RP-S20e, RPS20	small subunit ribosomal protein S20e
K02970	multiple functions	multiple functions	multiple functions	RP-S21, MRPS21, rpsU	small subunit ribosomal protein S21
K02971	multiple functions	multiple functions	multiple functions	RP-S21e, RPS21	small subunit ribosomal protein S21e
K02972	brite hierarchies	protein families: genetic information processing	ribosome biogenesis [br:ko03009]	sra	stationary-phase-induced ribosome-associated protein
K02973	multiple functions	multiple functions	multiple functions	RP-S23e, RPS23	small subunit ribosomal protein S23e
K02974	multiple functions	multiple functions	multiple functions	RP-S24e, RPS24	small subunit ribosomal protein S24e
K02975	multiple functions	multiple functions	multiple functions	RP-S25e, RPS25	small subunit ribosomal protein S25e
K02976	multiple functions	multiple functions	multiple functions	RP-S26e, RPS26	small subunit ribosomal protein S26e
K02977	multiple functions	multiple functions	multiple functions	RP-S27Ae, RPS27A, UBA80	ubiquitin-small subunit ribosomal protein S27Ae
K02978	multiple functions	multiple functions	multiple functions	RP-S27e, RPS27	small subunit ribosomal protein S27e
K02979	multiple functions	multiple functions	multiple functions	RP-S28e, RPS28	small subunit ribosomal protein S28e
K02980	multiple functions	multiple functions	multiple functions	RP-S29e, RPS29	small subunit ribosomal protein S29e
K02981	multiple functions	multiple functions	multiple functions	RP-S2e, RPS2	small subunit ribosomal protein S2e
K02982	multiple functions	multiple functions	multiple functions	RP-S3, rpsC	small subunit ribosomal protein S3
K02983	multiple functions	multiple functions	multiple functions	RP-S30e, RPS30	small subunit ribosomal protein S30e
K02984	multiple functions	multiple functions	multiple functions	RP-S3Ae, RPS3A	small subunit ribosomal protein S3Ae
K02985	multiple functions	multiple functions	multiple functions	RP-S3e, RPS3	small subunit ribosomal protein S3e
K02986	multiple functions	multiple functions	multiple functions	RP-S4, rpsD	small subunit ribosomal protein S4
K02987	multiple functions	multiple functions	multiple functions	RP-S4e, RPS4	small subunit ribosomal protein S4e
K02988	multiple functions	multiple functions	multiple functions	RP-S5, MRPS5, rpsE	small subunit ribosomal protein S5
K02989	multiple functions	multiple functions	multiple functions	RP-S5e, RPS5	small subunit ribosomal protein S5e
K02990	multiple functions	multiple functions	multiple functions	RP-S6, MRPS6, rpsF	small subunit ribosomal protein S6
K02991	multiple functions	multiple functions	multiple functions	RP-S6e, RPS6	small subunit ribosomal protein S6e
K02992	multiple functions	multiple functions	multiple functions	RP-S7, MRPS7, rpsG	small subunit ribosomal protein S7
